ID	institucion	acreditacion	carrera	area	subvencionados	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel
1117	Universidad de Santiago de Chile	6 años	Química y Licenciatura en Química	Ciencias Básicas	91,7%	28,0%	 11,9 	53,1%	s/i	 $ 2.419.120 
39	Universidad Academia de Humanismo Cristiano	3 años	Administración Pública	Ciencias Sociales	100,0%	30,8%	 s/i 	92,1%	s/i	 $ 1.643.868 
40	Universidad Bolivariana	No	Administración Pública	Ciencias Sociales	100,0%	s/i	 11,6 	97,5%	s/i	 $ 1.306.758 
41	Universidad Central de Chile	4 años	Administración Pública	Ciencias Sociales	90,1%	24,4%	 11,3 	91,0%	 De $1 millón a $1 millón 200 mil 	 $ 2.621.000 
42	Universidad de Chile	7 años	Administración Pública	Ciencias Sociales	82,9%	17,4%	 12,6 	84,5%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 2.485.300 
43	Universidad de Santiago de Chile	6 años	Administración Pública	Ciencias Sociales	91,9%	23,8%	 12,4 	80,9%	 De $1 millón a $1 millón 200 mil 	 $ 2.377.610 
44	Universidad de Valparaíso	3 años	Administración Pública	Ciencias Sociales	94,1%	17,4%	 11,9 	87,9%	s/i	 $ 1.758.000 
45	IP Latinoamericano de Comercio Exterior	No	Administración Pública, mención Gestión y Desarrollo Regiónal y Local	Ciencias Sociales	99,4%	37,0%	 9,6 	95,7%	s/i	 $ 772.655 
73	Universidad Austral de Chile	6 años	Antropología	Ciencias Sociales	85,7%	25,0%	 19,3 	92,0%	s/i	 $ 1.976.000 
74	Universidad Católica de Temuco	5 años	Licenciatura en Antropología	Ciencias Sociales	93,8%	27,8%	 15,8 	66,7%	s/i	 $ 2.141.000 
75	Universidad de Chile	7 años	Antropología mención Antropología Social, Antropología Físicas o en Arqueología	Ciencias Sociales	49,8%	28,0%	 18,8 	86,3%	s/i	 $ 2.474.800 
127	Universidad Central de Chile	4 años	Ciencia Política	Ciencias Sociales	83,4%	37,8%	 11,5 	59,5%	s/i	 $ 2.621.000 
131	Universidad Diego Portales	5 años	Ciencia Política	Ciencias Sociales	47,7%	29,4%	 10,9 	68,4%	s/i	 $ 2.160.000 
130	Universidad del Desarrollo	5 años	Ciencia Política y Políticas Públicas	Ciencias Sociales	37,7%	27,1%	 11,8 	87,5%	s/i	 $ 3.523.263 
128	Universidad de Concepción	6 años	Ciencias Políticas y Administrativas	Ciencias Sociales	90,5%	16,7%	 13,0 	74,1%	 De $800 mil a $1 millón 	 $ 1.681.000 
129	Universidad de Los Lagos	3 años	Ciencias Políticas y Administrativas	Ciencias Sociales	97,5%	24,1%	 14,7 	86,0%	 De $800 mil a $1 millón 	 $ 1.817.000 
126	Pontificia Universidad Católica de Chile	7 años	Licenciatura en Ciencias Políticas	Ciencias Sociales	48,7%	8,9%	 10,6 	73,7%	 De $800 mil a $1 millón 	 $ 4.130.000 
138	IP Los Leones	4 años	Comunicación Social en Marketing	Ciencias Sociales	97,0%	58,1%	 11,1 	58,3%	 De $400 mil a $600 mil 	 $ 915.022 
306	Pontificia Universidad Católica de Chile	7 años	Geografía	Ciencias Sociales	71,2%	16,4%	 12,7 	86,7%	 De $800 mil a $1 millón 	 $ 2.820.000 
307	Pontificia Universidad Católica de Valparaíso	6 años	Geografía	Ciencias Sociales	91,6%	13,5%	 15,3 	86,0%	 De $800 mil a $1 millón 	 $ 1.918.000 
308	Universidad de Chile	7 años	Geografía	Ciencias Sociales	83,7%	19,7%	 15,7 	96,9%	 De $800 mil a $1 millón 	 $ 2.453.800 
419	Pontificia Universidad Católica de Chile	7 años	Ingeniería Comercial	Ciencias Sociales	7,3%	8,7%	 12,8 	96,3%	 De $1 millón 800 mil a $2 millones 	 $ 4.700.000 
420	Pontificia Universidad Católica de Valparaíso	6 años	Ingeniería Comercial	Ciencias Sociales	71,6%	20,6%	 14,6 	92,9%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.272.000 
421	Universidad Adolfo Ibáñez	6 años	Ingeniería Comercial	Ciencias Sociales	11,0%	18,3%	 12,8 	95,7%	 De $1 millón 600 mil a $1 millón 800 mil 	 $ 4.327.653 
422	Universidad Alberto Hurtado	5 años	Ingeniería Comercial	Ciencias Sociales	81,8%	28,9%	 s/i 	84,0%	s/i	 $ 3.079.923 
423	Universidad Arturo Prat	2 años	Ingeniería Comercial	Ciencias Sociales	96,2%	36,4%	 13,9 	92,6%	 De $800 mil a $1 millón 	 $ 2.164.357 
424	Universidad Austral de Chile	6 años	Ingeniería Comercial	Ciencias Sociales	86,9%	20,2%	 14,0 	81,1%	 De $1 millón a $1 millón 200 mil 	 $ 2.756.000 
425	Universidad Autónoma de Chile	5 años	Ingeniería Comercial	Ciencias Sociales	93,0%	25,4%	 13,7 	84,7%	s/i	 $ 2.315.494 
426	Universidad Católica de la Santísima Concepción	En Proceso	Ingeniería Comercial	Ciencias Sociales	93,7%	6,8%	 14,4 	72,4%	 De $800 mil a $1 millón 	 $ 2.357.000 
427	Universidad Católica del Norte	6 años	Ingeniería Comercial	Ciencias Sociales	79,9%	30,6%	 13,7 	89,3%	 De $1 millón a $1 millón 200 mil 	 $ 2.754.000 
428	Universidad Católica Silva Henríquez	4 años	Ingeniería Comercial	Ciencias Sociales	97,9%	41,1%	 13,0 	92,3%	 De $800 mil a $1 millón 	 $ 2.006.300 
429	Universidad Central de Chile	4 años	Ingeniería Comercial	Ciencias Sociales	83,9%	15,9%	 11,5 	95,2%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.616.742 
431	Universidad de Chile	7 años	Ingeniería Comercial	Ciencias Sociales	34,8%	16,0%	 12,8 	96,6%	 De $1 millón 600 mil a $1 millón 800 mil 	 $ 3.950.100 
432	Universidad de Concepción	6 años	Ingeniería Comercial	Ciencias Sociales	86,6%	8,8%	 13,1 	80,7%	 De $1 millón a $1 millón 200 mil 	 $ 2.878.000 
433	Universidad de La Frontera	5 años	Ingeniería Comercial	Ciencias Sociales	94,7%	10,8%	 13,8 	80,9%	 De $800 mil a $1 millón 	 $ 2.478.000 
435	Universidad de Los Andes	5 años	Ingeniería Comercial	Ciencias Sociales	3,3%	17,8%	 12,6 	90,3%	 De $1 millón 600 mil a $1 millón 800 mil 	 $ 4.224.048 
436	Universidad de Los Lagos	3 años	Ingeniería Comercial	Ciencias Sociales	98,9%	11,8%	 18,9 	86,0%	 De $800 mil a $1 millón 	 $ 2.051.885 
437	Universidad de Magallanes	4 años	Ingeniería Comercial	Ciencias Sociales	87,1%	23,3%	 17,7 	67,4%	s/i	 $ 3.022.726 
438	Universidad de Santiago de Chile	6 años	Ingeniería Comercial	Ciencias Sociales	87,3%	12,8%	 12,5 	92,6%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.294.639 
439	Universidad de Talca	5 años	Ingeniería Comercial	Ciencias Sociales	89,3%	17,5%	 12,7 	90,9%	 De $1 millón a $1 millón 200 mil 	 $ 2.503.985 
440	Universidad de Tarapacá	5 años	Ingeniería Comercial	Ciencias Sociales	90,1%	24,7%	 15,9 	90,4%	 De $800 mil a $1 millón 	 $ 2.437.000 
441	Universidad de Valparaíso	3 años	Ingeniería Comercial	Ciencias Sociales	88,4%	13,2%	 14,2 	90,8%	 De $1 millón a $1 millón 200 mil 	 $ 2.229.827 
442	Universidad de Viña del Mar	4 años	Ingeniería Comercial	Ciencias Sociales	68,9%	34,6%	 14,1 	77,3%	 De $1 millón a $1 millón 200 mil 	 $ 2.758.000 
443	Universidad del Desarrollo	5 años	Ingeniería Comercial	Ciencias Sociales	13,8%	10,7%	 12,0 	92,4%	 De $1 millón 400 mil a $1 millón 600 mil 	 $ 4.208.638 
444	Universidad Diego Portales	5 años	Ingeniería Comercial	Ciencias Sociales	42,6%	13,2%	 13,5 	91,7%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.106.000 
445	Universidad Finis Terrae	5 años	Ingeniería Comercial	Ciencias Sociales	38,7%	28,4%	 15,1 	95,0%	 De $1 millón 400 mil a $1 millón 600 mil 	 $ 3.015.610 
446	Universidad Iberoamericana de Ciencias y Tecnología UNICIT	3 años	Ingeniería Comercial	Ciencias Sociales	95,6%	s/i	 s/i 	84,6%	 De $1 millón a $1 millón 200 mil 	 $ 1.648.571 
447	Universidad Nacional Andrés Bello	5 años	Ingeniería Comercial	Ciencias Sociales	41,3%	18,1%	 12,5 	87,0%	 De $1 millón 200 mil a $1 millón 400 mil 	 $ 3.557.976 
448	Universidad Pedro de Valdivia	No	Ingeniería Comercial	Ciencias Sociales	88,7%	40,5%	 13,2 	95,2%	s/i	 $ 2.045.740 
449	Universidad San Sebastián	4 años	Ingeniería Comercial	Ciencias Sociales	78,0%	22,1%	 12,5 	75,2%	 De $1 millón a $1 millón 200 mil 	 $ 3.259.558 
450	Universidad Santo Tomás	3 años	Ingeniería Comercial	Ciencias Sociales	94,7%	26,4%	 15,3 	84,8%	 De $800 mil a $1 millón 	 $ 2.217.576 
451	Universidad Técnica Federico Santa María	5 años	Ingeniería Comercial	Ciencias Sociales	66,6%	22,6%	 15,8 	95,2%	 De $1 millón 400 mil a $1 millón 600 mil 	 $ 3.390.207 
452	Universidad Tecnológica Metropolitana	2 años	Ingeniería Comercial	Ciencias Sociales	94,0%	25,6%	 14,5 	90,3%	 De $1 millón a $1 millón 200 mil 	 $ 2.327.204 
454	Universidad de La Serena	4 años	Ingeniería Comercial	Ciencias Sociales	97,2%	14,5%	 17,7 	74,1%	 De $800 mil a $1 millón 	 $ 2.367.000 
455	Universidad del Bío-Bío	5 años	Ingeniería Comercial	Ciencias Sociales	98,4%	15,6%	 14,2 	82,7%	 De $800 mil a $1 millón 	 $ 2.236.294 
456	Universidad del Pacífico	3 años	Ingeniería Comercial	Ciencias Sociales	74,8%	40,0%	 10,3 	91,5%	 De $1 millón 400 mil a $1 millón 600 mil 	 $ 2.599.254 
459	Universidad UCINF	2 años	Ingeniería Comercial	Ciencias Sociales	98,2%	36,7%	 s/i 	95,2%	s/i	 $ 1.583.000 
460	Universidad del Mar	2 años	Ingeniería Comercial	Ciencias Sociales	87,1%	49,1%	 14,0 	87,0%	 De $800 mil a $1 millón 	 $ 2.268.938 
434	Universidad de Las Américas	3 años	Ingeniería Comercial Executive	Ciencias Sociales	90,1%	29,0%	 12,2 	89,7%	 De $1 millón a $1 millón 200 mil 	 $ 2.462.465 
579	Universidad Arturo Prat	2 años	Ingeniería de Ejecución en Administración de Empresas mención Administración Pública	Ciencias Sociales	100,0%	s/i	 10,4 	96,3%	s/i	 $ 951.000 
578	Universidad Academia de Humanismo Cristiano	3 años	Ingeniería de Ejecución en Gestión Pública	Ciencias Sociales	100,0%	30,8%	 17,7 	98,0%	 De $800 mil a $1 millón 	 $ 1.454.000 
580	Universidad de Los Lagos	3 años	Ingeniería de Ejecución en Administración Mención Administración Pública	Ciencias Sociales	100,0%	18,5%	 s/i 	97,8%	s/i	 $ 984.447 
765	IP Carlos Casanueva	2 años	Orientación en Relaciones Humanas y Familia	Ciencias Sociales	95,2%	33,3%	 s/i 	53,1%	s/i	 $ 1.220.400 
1012	Pontificia Universidad Católica de Chile	7 años	Periodismo	Ciencias Sociales	25,0%	9,2%	 11,4 	83,1%	 De $800 mil a $1 millón 	 $ 4.020.000 
1013	Pontificia Universidad Católica de Valparaíso	6 años	Periodismo	Ciencias Sociales	60,8%	25,4%	 14,1 	83,3%	 De $600 mil a $800 mil 	 $ 2.754.000 
1014	Universidad Adolfo Ibáñez	6 años	Periodismo	Ciencias Sociales	17,0%	38,0%	 15,1 	92,7%	s/i	 $ 3.538.242 
1015	Universidad Austral de Chile	6 años	Periodismo	Ciencias Sociales	92,5%	31,4%	 14,0 	76,0%	 De $400 mil a $600 mil 	 $ 2.350.000 
1016	Universidad Bernardo O'Higgins	3 años	Periodismo	Ciencias Sociales	92,5%	17,6%	 s/i 	68,0%	s/i	 $ 1.837.000 
1017	Universidad Católica de la Santísima Concepción	En Proceso	Periodismo	Ciencias Sociales	90,0%	22,5%	 13,7 	66,2%	 De $600 mil a $800 mil 	 $ 2.203.000 
1018	Universidad Católica del Norte	6 años	Periodismo	Ciencias Sociales	84,4%	40,4%	 11,9 	67,7%	 De $600 mil a $800 mil 	 $ 2.499.000 
1019	Universidad de Artes, Ciencias y Comunicación UNIACC	No	Periodismo	Ciencias Sociales	60,8%	21,2%	 s/i 	73,8%	 De $600 mil a $800 mil 	 $ 2.664.202 
1020	Universidad de Chile	7 años	Periodismo	Ciencias Sociales	67,3%	7,9%	 16,0 	88,4%	 De $800 mil a $1 millón 	 $ 2.570.400 
1021	Universidad de Concepción	6 años	Periodismo	Ciencias Sociales	84,8%	26,5%	 12,6 	68,9%	 De $600 mil a $800 mil 	 $ 2.313.000 
1022	Universidad de La Frontera	5 años	Periodismo	Ciencias Sociales	93,5%	23,8%	 16,8 	61,0%	 De $600 mil a $800 mil 	 $ 2.052.000 
1023	Universidad de La Serena	4 años	Periodismo	Ciencias Sociales	95,3%	29,7%	 14,5 	71,9%	 De $600 mil a $800 mil 	 $ 2.317.000 
1024	Universidad de Las Américas	3 años	Periodismo	Ciencias Sociales	90,9%	26,3%	 15,0 	57,8%	 De $400 mil a $600 mil 	 $ 2.203.106 
1025	Universidad de Playa Ancha de Ciencias de la Educación	4 años	Periodismo	Ciencias Sociales	92,0%	33,3%	 s/i 	62,2%	 De $600 mil a $800 mil 	 $ 2.152.500 
1026	Universidad de Santiago de Chile	6 años	Periodismo	Ciencias Sociales	85,5%	13,6%	 11,7 	82,0%	 De $600 mil a $800 mil 	 $ 2.509.790 
1027	Universidad de Viña del Mar	4 años	Periodismo	Ciencias Sociales	56,7%	23,5%	 12,5 	54,3%	 De $600 mil a $800 mil 	 $ 2.649.000 
1028	Universidad del Desarrollo	5 años	Periodismo	Ciencias Sociales	21,6%	7,8%	 11,9 	87,0%	 De $600 mil a $800 mil 	 $ 3.730.231 
1029	Universidad del Mar	2 años	Periodismo	Ciencias Sociales	84,0%	30,8%	 11,6 	63,4%	s/i	 $ 2.341.405 
1030	Universidad del Pacífico	3 años	Periodismo	Ciencias Sociales	42,6%	14,8%	 10,2 	66,7%	 De $600 mil a $800 mil 	 $ 3.543.000 
1031	Universidad Diego Portales	5 años	Periodismo	Ciencias Sociales	35,8%	8,6%	 11,9 	84,0%	 De $800 mil a $1 millón 	 $ 2.160.000 
1032	Universidad Finis Terrae	5 años	Periodismo	Ciencias Sociales	43,1%	13,3%	 12,8 	86,0%	 De $800 mil a $1 millón 	 $ 2.980.000 
1033	Universidad Internacional SEK	2 años	Periodismo	Ciencias Sociales	91,1%	52,4%	 s/i 	58,1%	s/i	 $ 1.705.109 
1034	Universidad Nacional Andrés Bello	5 años	Periodismo	Ciencias Sociales	75,5%	32,7%	 14,4 	70,1%	 De $600 mil a $800 mil 	 $ 3.721.618 
1035	Universidad Santo Tomás	3 años	Periodismo	Ciencias Sociales	93,4%	16,0%	 s/i 	53,6%	 De $400 mil a $600 mil 	 $ 2.288.644 
1037	Universidad de Los Andes	5 años	Periodismo	Ciencias Sociales	11,8%	15,0%	 13,5 	87,3%	 De $800 mil a $1 millón 	 $ 3.891.230 
1045	Pontificia Universidad Católica de Chile	7 años	Psicología	Ciencias Sociales	18,0%	12,9%	 11,6 	82,3%	 De $800 mil a $1 millón 	 $ 4.130.000 
1046	Pontificia Universidad Católica de Valparaíso	6 años	Psicología	Ciencias Sociales	62,1%	10,3%	 16,0 	85,1%	 De $600 mil a $800 mil 	 $ 3.272.000 
1047	Universidad Academia de Humanismo Cristiano	3 años	Psicología	Ciencias Sociales	87,1%	13,0%	 14,8 	84,8%	 De $600 mil a $800 mil 	 $ 2.244.000 
1048	Universidad Adolfo Ibáñez	6 años	Psicología	Ciencias Sociales	17,9%	24,8%	 12,0 	62,5%	 De $800 mil a $1 millón 	 $ 3.585.701 
1049	Universidad Alberto Hurtado	5 años	Psicología	Ciencias Sociales	72,1%	10,1%	 12,5 	82,5%	 De $600 mil a $800 mil 	 $ 3.370.250 
1050	Universidad Arturo Prat	2 años	Psicología	Ciencias Sociales	99,1%	55,2%	 12,9 	89,6%	s/i	 $ 1.998.526 
1051	Universidad Austral de Chile	6 años	Psicología	Ciencias Sociales	94,8%	25,0%	 12,1 	98,3%	s/i	 $ 2.756.000 
1052	Universidad Autónoma de Chile	5 años	Psicología	Ciencias Sociales	96,0%	13,0%	 12,4 	86,5%	s/i	 $ 2.424.950 
1053	Universidad Bolivariana	No	Psicología	Ciencias Sociales	98,6%	42,2%	 17,4 	86,9%	s/i	 $ 1.530.163 
1055	Universidad Católica del Norte	6 años	Psicología	Ciencias Sociales	78,3%	19,3%	 12,8 	86,7%	 De $800 mil a $1 millón 	 $ 2.499.000 
1056	Universidad Católica Silva Henríquez	4 años	Psicología	Ciencias Sociales	91,6%	14,9%	 11,7 	90,3%	s/i	 $ 2.239.800 
1057	Universidad Central de Chile	4 años	Psicología	Ciencias Sociales	77,7%	27,1%	 11,5 	82,0%	 De $800 mil a $1 millón 	 $ 2.938.670 
1058	Universidad de Arte y Ciencias Sociales ARCIS	2 años	Psicología	Ciencias Sociales	92,9%	23,3%	 15,6 	82,6%	 De $600 mil a $800 mil 	 $ 2.225.087 
1059	Universidad de Artes, Ciencias y Comunicación UNIACC	No	Psicología	Ciencias Sociales	74,1%	41,1%	 11,2 	87,4%	s/i	 $ 2.429.366 
1060	Universidad de Chile	7 años	Psicología	Ciencias Sociales	72,4%	15,5%	 15,8 	90,8%	 De $800 mil a $1 millón 	 $ 2.474.800 
1061	Universidad de Concepción	6 años	Psicología	Ciencias Sociales	79,2%	6,8%	 12,2 	93,4%	 De $600 mil a $800 mil 	 $ 2.420.000 
1062	Universidad de La Frontera	5 años	Psicología	Ciencias Sociales	91,6%	1,8%	 11,8 	85,2%	 De $600 mil a $800 mil 	 $ 2.178.000 
1063	Universidad de Las Américas	3 años	Psicología	Ciencias Sociales	92,0%	32,0%	 13,6 	69,8%	 De $600 mil a $800 mil 	 $ 2.672.600 
1064	Universidad de Santiago de Chile	6 años	Psicología	Ciencias Sociales	85,5%	8,2%	 13,2 	81,9%	 De $800 mil a $1 millón 	 $ 2.444.110 
1065	Universidad de Talca	5 años	Psicología	Ciencias Sociales	91,1%	7,6%	 13,2 	90,7%	 De $800 mil a $1 millón 	 $ 2.818.500 
1066	Universidad de Tarapacá	5 años	Psicología	Ciencias Sociales	96,4%	21,7%	 13,6 	87,4%	 De $600 mil a $800 mil 	 $ 2.437.000 
1067	Universidad de Valparaíso	3 años	Psicología	Ciencias Sociales	82,8%	21,5%	 13,4 	87,8%	 De $600 mil a $800 mil 	 $ 2.354.000 
1068	Universidad de Viña del Mar	4 años	Psicología	Ciencias Sociales	83,2%	19,3%	 12,0 	81,1%	 De $600 mil a $800 mil 	 $ 2.812.000 
1069	Universidad del Desarrollo	5 años	Psicología	Ciencias Sociales	28,8%	9,2%	 13,3 	91,1%	 De $800 mil a $1 millón 	 $ 3.976.275 
1070	Universidad del Mar	2 años	Psicología	Ciencias Sociales	92,9%	33,1%	 14,2 	79,2%	 De $600 mil a $800 mil 	 $ 2.194.435 
1071	Universidad del Pacífico	3 años	Psicología	Ciencias Sociales	33,1%	15,6%	 12,3 	63,9%	s/i	 $ 3.685.000 
1072	Universidad Diego Portales	5 años	Psicología	Ciencias Sociales	27,3%	11,0%	 11,5 	73,9%	 De $800 mil a $1 millón 	 $ 3.099.000 
1073	Universidad Internacional SEK	2 años	Psicología	Ciencias Sociales	80,7%	39,7%	 s/i 	71,0%	 De $600 mil a $800 mil 	 $ 1.912.681 
1074	Universidad Nacional Andrés Bello	5 años	Psicología	Ciencias Sociales	63,4%	18,2%	 14,9 	75,1%	 De $600 mil a $800 mil 	 $ 3.608.947 
1075	Universidad Pedro de Valdivia	No	Psicología	Ciencias Sociales	91,8%	36,5%	 12,7 	83,3%	 De $600 mil a $800 mil 	 $ 1.944.357 
1076	Universidad San Sebastián	4 años	Psicología	Ciencias Sociales	87,1%	18,7%	 12,5 	86,6%	 De $600 mil a $800 mil 	 $ 3.212.200 
1077	Universidad Santo Tomás	3 años	Psicología	Ciencias Sociales	95,9%	19,0%	 12,2 	67,4%	 De $600 mil a $800 mil 	 $ 2.325.083 
1078	Universidad UCINF	2 años	Psicología	Ciencias Sociales	96,0%	18,8%	 10,4 	79,0%	 De $600 mil a $800 mil 	 $ 1.871.000 
1079	Universidad de La Serena	4 años	Psicología	Ciencias Sociales	96,0%	17,8%	 12,7 	90,1%	 De $600 mil a $800 mil 	 $ 2.337.000 
1080	Universidad de Los Andes	5 años	Psicología	Ciencias Sociales	6,6%	10,6%	 14,5 	76,6%	 De $800 mil a $1 millón 	 $ 4.002.408 
1054	Universidad Católica del Maule	5 años	Psicología con mención Psicología de la Salud-Psicología Educacional	Ciencias Sociales	93,5%	13,6%	 12,4 	92,7%	s/i	 $ 2.470.000 
1081	Universidad de Las Américas	3 años	Psicopedagogía	Ciencias Sociales	98,6%	45,0%	 12,3 	58,6%	s/i	 $ 1.772.309 
1082	Universidad Nacional Andrés Bello	5 años	Psicopedagogía	Ciencias Sociales	70,1%	17,4%	 10,6 	77,2%	 De $400 mil a $600 mil 	 $ 2.330.654 
1083	Universidad UCINF	2 años	Psicopedagogía	Ciencias Sociales	94,1%	21,4%	 9,0 	92,9%	s/i	 $ 1.101.000 
1085	IP de Chile	4 años	Psicopedagogía	Ciencias Sociales	99,8%	33,0%	 10,2 	75,6%	 De $400 mil a $600 mil 	 $ 987.942 
1086	IP del Valle Central	2 años	Psicopedagogía	Ciencias Sociales	100,0%	30,4%	 11,5 	77,8%	s/i	 $ 904.210 
1087	IP INACAP	6 años	Psicopedagogía	Ciencias Sociales	100,0%	s/i	 10,6 	81,2%	s/i	 $ 1.351.804 
1088	IP La Araucana	4 años	Psicopedagogía	Ciencias Sociales	99,4%	31,9%	 9,4 	82,4%	s/i	 $ 1.010.071 
1089	IP Latinoamericano de Comercio Exterior	No	Psicopedagogía	Ciencias Sociales	99,3%	43,8%	 9,5 	79,3%	s/i	 $ 822.304 
1090	IP Los Leones	4 años	Psicopedagogía	Ciencias Sociales	99,3%	54,1%	 12,2 	70,1%	 De $400 mil a $600 mil 	 $ 929.594 
1091	IP Providencia	4 años	Psicopedagogía	Ciencias Sociales	100,0%	40,0%	 s/i 	57,7%	s/i	 $ 845.000 
1092	Universidad de Artes, Ciencias y Comunicación UNIACC	No	Publicidad	Ciencias Sociales	64,8%	21,3%	 s/i 	67,9%	 De $600 mil a $800 mil 	 $ 3.600.000 
1093	Universidad de Las Américas	3 años	Publicidad	Ciencias Sociales	93,8%	33,3%	 12,3 	57,6%	 De $400 mil a $600 mil 	 $ 2.106.532 
1094	Universidad de Santiago de Chile	6 años	Publicidad	Ciencias Sociales	94,2%	16,9%	 11,1 	54,5%	 De $400 mil a $600 mil 	 $ 2.683.170 
1095	Universidad del Desarrollo	5 años	Publicidad	Ciencias Sociales	4,8%	16,9%	 11,1 	73,8%	 De $1 millón a $1 millón 200 mil 	 $ 4.350.000 
1097	Universidad del Pacífico	3 años	Publicidad	Ciencias Sociales	33,2%	22,9%	 10,5 	70,0%	 De $800 mil a $1 millón 	 $ 3.685.000 
1098	Universidad Diego Portales	5 años	Publicidad	Ciencias Sociales	55,0%	20,0%	 11,4 	65,7%	 De $800 mil a $1 millón 	 $ 3.484.000 
1099	Universidad Nacional Andrés Bello	5 años	Publicidad	Ciencias Sociales	66,7%	38,1%	 12,1 	53,8%	s/i	 $ 3.495.564 
1100	IP AIEP	4 años	Publicidad	Ciencias Sociales	94,9%	35,4%	 8,5 	68,9%	s/i	 $ 1.171.036 
1101	IP de Chile	4 años	Publicidad	Ciencias Sociales	99,4%	64,2%	 11,8 	85,3%	s/i	 $ 1.072.843 
1102	IP Duoc UC	7 años	Publicidad	Ciencias Sociales	82,4%	27,5%	 10,4 	59,9%	 De $400 mil a $600 mil 	 $ 1.940.250 
1103	IP INACAP	6 años	Publicidad	Ciencias Sociales	90,1%	31,2%	 10,4 	70,7%	 De $400 mil a $600 mil 	 $ 1.529.424 
1104	IP Los Leones	4 años	Publicidad	Ciencias Sociales	99,2%	74,2%	 11,3 	52,8%	 De $400 mil a $600 mil 	 $ 970.172 
1121	Universidad de Las Américas	3 años	Relaciones Públicas	Ciencias Sociales	91,8%	38,8%	 9,6 	80,4%	 De $600 mil a $800 mil 	 $ 1.919.296 
1122	Universidad de Viña del Mar	4 años	Relaciones Públicas	Ciencias Sociales	66,3%	27,3%	 11,0 	58,1%	 De $600 mil a $800 mil 	 $ 1.926.000 
1123	Universidad del Pacífico	3 años	Relaciones Públicas	Ciencias Sociales	25,8%	8,6%	 9,3 	83,3%	 De $600 mil a $800 mil 	 $ 3.685.000 
1124	Universidad Santo Tomás	3 años	Relaciones Públicas	Ciencias Sociales	94,3%	29,5%	 10,2 	35,9%	 De $400 mil a $600 mil 	 $ 1.766.852 
1127	IP Dr. Virginio Gómez G.	4 años	Relaciones Públicas	Ciencias Sociales	100,0%	3,8%	 9,3 	59,1%	s/i	 $ 1.222.000 
1129	IP Los Leones	4 años	Relaciones Públicas	Ciencias Sociales	97,6%	48,9%	 10,8 	79,4%	 De $400 mil a $600 mil 	 $ 986.837 
1120	Universidad de Artes, Ciencias y Comunicación UNIACC	No	Relaciones Públicas Corporativas	Ciencias Sociales	63,2%	20,5%	 s/i 	65,4%	s/i	 $ 2.800.000 
1126	IP de Chile	4 años	Relaciones Públicas Empresariales	Ciencias Sociales	98,0%	58,3%	 10,3 	74,2%	s/i	 $ 1.035.563 
1128	IP Duoc UC	7 años	Relaciones Públicas mención Marketing	Ciencias Sociales	84,2%	22,4%	 10,5 	71,0%	 De $400 mil a $600 mil 	 $ 1.869.480 
1143	Pontificia Universidad Católica de Chile	7 años	Sociología	Ciencias Sociales	27,6%	19,7%	 11,9 	85,4%	 De $800 mil a $1 millón 	 $ 3.740.000 
1144	Universidad Academia de Humanismo Cristiano	3 años	Sociología	Ciencias Sociales	89,6%	24,2%	 17,8 	88,9%	s/i	 $ 2.163.000 
1145	Universidad Alberto Hurtado	5 años	Sociología	Ciencias Sociales	49,8%	25,6%	 12,2 	89,5%	 De $800 mil a $1 millón 	 $ 3.060.000 
1147	Universidad Católica Silva Henríquez	4 años	Sociología	Ciencias Sociales	94,9%	28,1%	 11,4 	51,4%	 De $600 mil a $800 mil 	 $ 2.121.900 
1148	Universidad Central de Chile	4 años	Sociología	Ciencias Sociales	88,3%	33,3%	 10,6 	70,4%	s/i	 $ 2.371.654 
1149	Universidad de Arte y Ciencias Sociales ARCIS	2 años	Sociología	Ciencias Sociales	90,2%	23,5%	 18,1 	70,0%	s/i	 $ 2.153.656 
1150	Universidad de Chile	7 años	Sociología	Ciencias Sociales	56,0%	26,9%	 17,5 	90,4%	s/i	 $ 2.474.800 
1151	Universidad de Concepción	6 años	Sociología	Ciencias Sociales	83,0%	26,5%	 14,0 	76,1%	 De $800 mil a $1 millón 	 $ 2.073.000 
1152	Universidad de La Frontera	5 años	Sociología	Ciencias Sociales	95,9%	30,8%	 12,6 	71,0%	 De $600 mil a $800 mil 	 $ 2.052.000 
1153	Universidad Diego Portales	5 años	Sociología	Ciencias Sociales	42,7%	24,1%	 13,1 	77,3%	s/i	 $ 2.066.000 
1251	CFT Lota-Arauco	4 años	Administración Pública	Ciencias Sociales	100,0%	30,4%	 6,0 	48,0%	 Menor a $400 mil 	 $ 1.037.841 
1250	CFT de Tarapacá	4 años	Técnico en Administración Pública	Ciencias Sociales	100,0%	31,3%	 7,7 	65,8%	s/i	 $ 1.020.000 
1482	IP Los Leones	4 años	Comunicación Social en Marketing	Ciencias Sociales	100,0%	s/i	 6,6 	61,5%	 De $400 mil a $600 mil 	 $ 912.000 
