ID	tipo	nombre	acreditacion	agnosacreditacion	Patrimonio	resultado	pregrado2007	pregrado2008	pregrado2009	pregrado2010	pregrado2011	pregrado2012	Municipal	Subvencionado	Particularpagado	retencionagno1	nemMatriculados	titulados2007	titulados2008	titulados2009	titulados2010	titulados2011																																																																																																																																																																				
388	Universidad	Universidad de Chile	Acreditada	7	$ 310.267.597	$ 14.298.155	24141	24235	25171	26261	26658	27190	27,4%	36,2%	36,5%	85,3%	 6,4 	2743	2874	2893	2889	2910																																																																																																																																																																				
416	Universidad	Universidad de Concepción	Acreditada	6	$ 67.201.939	$ 2.997.050	20905	22470	22585	23632	23764	23868	35,7%	50,5%	13,8%	83,0%	 6,1 	2052	2544	2545	2314	2645																																																																																																																																																																				
425	Universidad	Universidad de La Frontera	Acreditada	5	$ 62.423.281	$ 1.535.788	7203	7489	7719	7988	8289	8646	34,7%	59,1%	6,3%	85,1%	 6,0 	1107	1062	1347	1074	1049																																																																																																																																																																				
360	Universidad	Universidad de La Serena	Acreditada	4	$ 36.300.474	$ 1.283.615	7994	7982	7837	7550	7507	7326	27,6%	69,3%	3,1%	83,1%	 6,0 	1026	916	952	909	690																																																																																																																																																																				
402	Universidad	Universidad de Las Américas	Acreditada	3	$ 59.963.606	$ 4.415.115	25762	26781	25751	25038	28947	30514	32,4%	61,3%	6,2%	78,9%	 5,5 	2701	2803	2991	2687	3090																																																																																																																																																																				
396	Universidad	Universidad de Los Andes	Acreditada	5	$ 80.218.862	$ 7.621.996	4533	4751	5014	5325	5782	6002	2,9%	8,0%	89,1%	87,9%	 6,2 	449	429	535	552	614																																																																																																																																																																				
352	Universidad	Universidad de Los Lagos	Acreditada	3	$ 29.099.384	$ 1.513.343	4528	5713	12936	11089	9228	8845	57,3%	41,5%	1,2%	80,4%	 5,6 	642	1589	2148	1773	1924																																																																																																																																																																				
403	Universidad	Universidad de Magallanes	Acreditada	4	$ 34.224.977	-$ 896.820	3604	3816	3764	3863	3467	3342	41,8%	50,4%	7,8%	77,2%	 5,9 	399	430	394	378	340																																																																																																																																																																				
414	Universidad	Universidad de Playa Ancha de Ciencias de la Educación	Acreditada	4	$ 13.486.444	$ 1.386.786	7932	7417	7541	7938	8096	7654	29,8%	66,2%	4,1%	81,4%	 5,7 	1346	1660	1204	958	433																																																																																																																																																																				
400	Universidad	Universidad de Santiago de Chile	Acreditada	6	$ 39.189.895	$ 889.170	17428	18334	19148	19259	20024	19769	31,0%	58,3%	10,7%	80,5%	 6,1 	1687	2762	3025	2422	2225																																																																																																																																																																				
363	Universidad	Universidad de Talca	Acreditada	5	$ 50.547.079	$ 1.654.682	6558	6852	7131	7393	7409	7837	44,5%	47,0%	8,4%	88,6%	 6,2 	576	698	691	691	845																																																																																																																																																																				
371	Universidad	Universidad de Tarapacá	Acreditada	5	$ 37.514.686	$ 2.299.231	7652	8692	8497	8261	7893	7581	42,6%	53,6%	3,7%	79,7%	 6,0 	1198	1005	1198	1066	1255																																																																																																																																																																				
376	Universidad	Universidad de Valparaíso	Acreditada	3	$ 29.361.453	$ 3.237.671	16171	17430	15789	15210	15464	15229	23,4%	61,9%	14,7%	80,0%	 6,1 	1107	1378	1439	1709	1622																																																																																																																																																																				
357	Universidad	Universidad de Viña del Mar	Acreditada	4	$ 2.268.129	$ 1.076.591	5741	5883	6212	6673	6855	6985	20,8%	60,5%	18,7%	77,6%	 5,6 	621	783	860	771	812																																																																																																																																																																				
373	Universidad	Universidad del Bío-Bío	Acreditada	5	$ 25.808.461	$ 791.790	10273	10759	11190	11353	11513	11491	36,7%	59,9%	3,3%	88,3%	 6,0 	1054	1290	2061	1425	2309																																																																																																																																																																				
365	Universidad	Universidad del Desarrollo	Acreditada	5	$ 10.823.735	$ 1.397.170	8367	9346	9959	10803	11715	12657	5,3%	21,5%	73,2%	88,7%	 5,9 	791	928	1054	966	1203																																																																																																																																																																				
351	Universidad	Universidad del Mar	Acreditada	2	$ 28.156.444	-$ 2.991.438	21808	20493	19349	19363	19804	16639	40,4%	54,7%	4,9%	65,9%	 5,5 	1212	1945	2945	2679	2048																																																																																																																																																																				
458	Universidad	Universidad del Pacífico	Acreditada	3	$ 5.119.163	$ 107.066	4147	4557	5137	5257	5606	5348	12,8%	46,2%	41,0%	77,3%	 5,6 	582	578	490	647	725																																																																																																																																																																				
359	Universidad	Universidad Diego Portales	Acreditada	5	$ 56.315.784	$ 4.173.805	10549	10692	11820	12223	12682	13161	13,5%	39,8%	46,6%	84,0%	 5,8 	1255	1344	1511	1420	1449																																																																																																																																																																				
384	Universidad	Universidad Finis Terrae	Acreditada	5	$ 14.832.292	$ 542.620	3469	3491	3468	3627	3741	4124	9,0%	29,0%	62,0%	79,6%	 5,9 	350	425	506	494	475																																																																																																																																																																				
361	Universidad	Universidad Gabriela Mistral	Acreditada	3	$ 8.359.967	-$ 62.584	2676	2659	s/i	2707	2488	2273	s/i	 s/i 	 s/i 	s/i	s/i	399	s/i	431	501	527																																																																																																																																																																				
432	Universidad	Universidad Iberoamericana de Ciencias y Tecnología UNICIT	Acreditada	3	$ 3.038.574	$ 291.951	1879	2313	2754	3897	4641	3869	26,3%	70,6%	3,1%	77,4%	 5,6 	160	146	224	243	306																																																																																																																																																																				
459	Universidad	Universidad Internacional SEK	Acreditada	2	$ 3.824.176	$ 311.941	862	1498	3147	4059	4619	4722	23,3%	69,4%	7,3%	70,0%	 5,4 	94	132	113	122	79																																																																																																																																																																				
518	Universidad	Universidad La Araucana	No acreditada		$ 147.936	-$ 143.401	0	0	0	0	0	97	36,1%	60,7%	3,3%	s/i	 n/a 	0	0	0	0	0																																																																																																																																																																				
439	Universidad	Universidad La República	No acreditada		-$ 1.850.530	$ 785.921	5649	1145	1107	1276	1558	1948	68,4%	28,3%	3,4%	53,2%	 5,5 	393	271	442	336	298																																																																																																																																																																				
372	Universidad	Universidad Los Leones (ex Universidad Marítima)	No acreditada		$ 1.738.133	$ 1.517.806	707	54	35	17	581	1238	31,3%	66,9%	1,9%	s/i	 5,3 	236	27	28	19	0																																																																																																																																																																				
415	Universidad	Universidad Mayor	Acreditada	5	$ 41.598.002	$ 3.322.746	s/i	s/i	s/i	16206	15036	16383	s/i	 s/i 	 s/i 	s/i	s/i	s/i	s/i	2278	1305	1955																																																																																																																																																																				
431	Universidad	Universidad Metropolitana de Ciencias de la Educación	Acreditada	4	$ 9.487.335	-$ 189.875	5807	5457	5160	5016	4853	4636	32,8%	61,3%	5,9%	79,9%	 6,0 	865	819	719	742	590																																																																																																																																																																				
389	Universidad	Universidad Miguel de Cervantes	No acreditada		$ 455.185	$ 119.312	558	629	604	757	944	999	32,5%	63,8%	3,7%	49,2%	 5,4 	6	7	28	43	28																																																																																																																																																																				
418	Universidad	Universidad Nacional Andrés Bello	Acreditada	5	$ 139.030.102	$ 19.336.095	24732	28261	30989	33923	36355	39345	16,9%	55,4%	27,6%	76,2%	 5,7 	2375	2671	3323	2911	3069																																																																																																																																																																				
393	Universidad	Universidad Pedro de Valdivia	No acreditada		$ 2.931.187	$ 964.616	2191	3746	5391	7276	9476	11512	30,8%	62,2%	7,0%	64,1%	 5,6 	163	61	182	266	230																																																																																																																																																																				
383	Universidad	Universidad San Sebastián	Acreditada	4	$ 34.926.680	$ 2.390.685	11097	14398	16645	20051	21570	24003	32,3%	55,3%	12,4%	82,0%	 5,7 	1232	1054	1355	1069	1846																																																																																																																																																																				
419	Universidad	Universidad Santo Tomás	Acreditada	3	$ 29.349.601	-$ 117.912	18328	19917	23265	26584	27656	27846	38,3%	58,2%	3,4%	81,4%	 5,7 	1074	1602	1364	802	1086																																																																																																																																																																				
406	Universidad	Universidad Técnica Federico Santa María	Acreditada	5	$ 65.521.064	-$ 737.476	12349	13018	14876	16632	17317	17720	21,6%	54,8%	23,6%	86,0%	 6,1 	1351	1580	1810	1596	1873																																																																																																																																																																				
348	Universidad	Universidad Tecnológica de Chile INACAP	Acreditada	3	$ 98.074.196	$ 29.830.984	11671	13045	16536	23254	28611	30602	38,7%	56,5%	4,8%	71,0%	 5,6 	1050	1234	1764	1905	2933																																																																																																																																																																				
358	Universidad	Universidad Tecnológica Metropolitana	Acreditada	2	$ 26.833.777	$ 1.990.137	14632	10840	9360	8397	7691	7172	31,5%	64,6%	3,9%	74,3%	 5,7 	1774	1738	1715	1910	1163																																																																																																																																																																				
382	Universidad	Universidad UCINF	Acreditada	2	-$ 3.294.308	$ 226.359	7180	5522	4484	4033	5405	6734	24,2%	71,7%	4,0%	70,5%	 5,4 	721	815	763	934	914																																																																																																																																																																				
